IP,speed1,speed2,speed3
172.16.248.2,1.705, 1.775, 1.452
128.122.1.97,11.672, 1.599, 1.910
128.122.1.36,1.844, 1.915, 2.049
192.168.184.228,2.237, 1.953, 2.050
128.122.254.114,2.165, 2.477, 2.215
192.168.184.221,2.933, 3.577, 3.427
192.76.177.202,2.526, 2.388, 2.487
128.122.254.109,2.721, 2.683, 2.716
128.122.254.68,2.958, 3.383, 2.573
64.86.62.13,3.027, 2.995, 2.570
209.58.75.217,4.436, 3.677, 4.046
216.6.90.72,3.929, 7.284, 5.964
63.243.128.141,5.414
63.243.128.25,4.207
63.243.128.141,5.290
63.243.128.122,4.132, 4.394, 4.062
72.14.195.232,3.438, 3.267, 3.904
216.239.62.21,3.585, 4.118
216.239.62.147,3.491
172.217.9.229,3.332, 3.674, 3.126
